Course and Section,Day and Date,Start Time,End Time,Building and Room(s),Instructor
EN 365_A,"Saturday, May 4, 2024",7:00 PM,10:00 PM,Burchard 104,Kaijian Liu
EN 377_A,"Saturday, May 4, 2024",7:00 PM,10:00 PM,North Building 104,Xiaoguang Meng
EN 379_A,"Tuesday, May 7, 2024",11:30 AM,2:30 PM,Gateway South 121,Xiaoguang Meng
EN 506_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,McLean 105,Mohammed Sidhoum
EN 506_A_U,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,McLean 105,Mohammed Sidhoum
EN 541_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Burchard 430,Tsan-Liang Su
EN 541_A_U,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Burchard 430,Tsan-Liang Su
EN 553_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Babbio 204,Cheng Chen
EN 571_A,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Babbio 210,Christos Christodoulatos
EN 571_A_U,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Babbio 210,Christos Christodoulatos
EN 587_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Gateway South 025,Angelo Elmi
ENGR 211_A,"Saturday, May 4, 2024",11:30 AM,2:30 PM,Burchard 103,Chaitanya Krishna Vallabh
Course and Section,Day and Date,Start Time,End Time,Building and Room(s),Instructor
ENGR 211_C,"Saturday, May 4, 2024",11:30 AM,2:30 PM,Burchard 103,Johannes Weickenmeier
ENGR 212_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Kidde 228,Joseph Miles
ENGR 212_B,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Kidde 228,Joseph Miles
ENGR 212_C,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Babbio 122,Joseph Miles
ENGR 212_D,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Babbio 104,Mahmoud Al-Quzwini
ENGR 234_A,"Monday, May 6, 2024",11:30 AM,2:30 PM,Burchard 111,Zahra Pournorouz
ENGR 234_C,"Monday, May 6, 2024",11:30 AM,2:30 PM,Burchard 111,Chang-Hwan Choi
ENGR 234_E,"Monday, May 6, 2024",11:30 AM,2:30 PM,Gateway South 122,Zahra Pournorouz
ENGR 241_A,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Online,Sarath Chandra Kumar Jagupilla
ENGR 241_B,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Online,Sarath Chandra Kumar Jagupilla
ENGR 241_WS,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Online,Sarath Chandra Kumar Jagupilla
ENGR 241_WS1,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Online,Sarath Chandra Kumar Jagupilla
ENGR 241_WS2,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Online,Sarath Chandra Kumar Jagupilla
ENGR 241_WS3,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Online,Sarath Chandra Kumar Jagupilla
ENGR 245_A,"Friday, May 10, 2024",8:00 AM,11:00 AM,Gateway South 122,Mahmoud Al-Quzwini
ENGR 245_B,"Friday, May 10, 2024",8:00 AM,11:00 AM,Gateway South 122,Mahmoud Al-Quzwini
ENGR 311_A,"Friday, May 10, 2024",3:00 PM,6:00 PM,Edwin A. Stevens 222,Sarah Goodman
ENGR 311_B,"Friday, May 10, 2024",3:00 PM,6:00 PM,Edwin A. Stevens 222,Jacob Gissinger
ENGR 355_A,"Tuesday, May 7, 2024",11:30 AM,2:30 PM,Edwin A. Stevens 222,Philip Odonkor
FA 636_A,"Thursday, May 9, 2024",8:00 AM,11:00 AM,Babbio 432 (Hanlon Financial Syste,Majeed Simaan
FE 517_A,"Saturday, May 11, 2024",11:30 AM,2:30 PM,Burchard 102,Khashayar Dehnad
FE 610_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,Babbio 432 (Hanlon Financial Syste,Thomas Lonon
FIN 510_A,"Thursday, May 9, 2024",3:00 PM,6:00 PM,Gateway South 122,Frank Manzi
FIN 510_B,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Gateway South 122,Frank Manzi
FIN 515_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Howe 102,Joon Ho Kong
FIN 515_B,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,Kidde 360,Frank Manzi
FIN 515_C,"Thursday, May 9, 2024",8:00 AM,11:00 AM,Edwin A. Stevens 329,Ryan Wynne
Course and Section,Day and Date,Start Time,End Time,Building and Room(s),Instructor
FIN 627_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Carnegie 315,Emmanuel Hatzakis
FIN 628_A,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Carnegie 316,Emmanuel Hatzakis
FIN 638_A,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,Babbio 203,Aanand Goel
HAR 280_A,"Wednesday, May 8, 2024",11:30 AM,2:30 PM,ABS Engineering Center 301,Diana Bush
HAR 280_B,"Saturday, May 4, 2024",7:00 PM,10:00 PM,Morton 324,Elizabeth Frasco
HAR 281_A,"Tuesday, May 14, 2024",11:30 AM,2:30 PM,Burchard 430,Elizabeth Frasco
HAR 380_A,"Friday, May 10, 2024",11:30 AM,2:30 PM,Morton 105,Diana Bush
HHS 126_A,"Saturday, May 4, 2024",3:00 PM,6:00 PM,Peirce 218,Lindsey Swindall
HHS 130_A,"Monday, May 13, 2024",7:00 PM,10:00 PM,Peirce 220,Donna Bilak
HHS 130_B,"Tuesday, May 7, 2024",8:00 AM,11:00 AM,Peirce 220,Donna Bilak
HHS 135_A,"Wednesday, May 8, 2024",11:30 AM,2:30 PM,Morton 105,Metin Teke
HHS 135_B,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,Morton 105,Metin Teke
HHS 195_A,"Monday, May 13, 2024",7:00 PM,10:00 PM,Kidde 390,Mario Diaz de Leon
HHS 210_A,"Wednesday, May 8, 2024",3:00 PM,6:00 PM,Gateway North 213,Samantha Muka
HHS 280_A,"Wednesday, May 8, 2024",11:30 AM,2:30 PM,ABS Engineering Center 301,Diana Bush
HHS 280_B,"Saturday, May 4, 2024",7:00 PM,10:00 PM,Morton 324,Elizabeth Frasco
HHS 281_A,"Tuesday, May 14, 2024",11:30 AM,2:30 PM,Burchard 430,Elizabeth Frasco
HHS 323_A,"Monday, May 6, 2024",8:00 AM,11:00 AM,Peirce 218,Lindsey Swindall
HHS 370_EV,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Morton 324,Adam Elewa
HHS 395_A,"Thursday, May 9, 2024",3:00 PM,6:00 PM,Morton 105,Diana Bush
HLI 114_A,"Wednesday, May 8, 2024",11:30 AM,2:30 PM,Babbio 203,Jason Vredenburg
HLI 118_A,"Thursday, May 9, 2024",3:00 PM,6:00 PM,Altorfer 501,Benjamin Ogden
HLI 220_A,"Tuesday, May 7, 2024",11:30 AM,2:30 PM,Peirce 220,Virginia Conn
HLI 302_A,"Friday, May 10, 2024",11:30 AM,2:30 PM,Burchard 714,Anthony Pennino
HLI 330_A,"Saturday, May 4, 2024",7:00 PM,10:00 PM,Babbio 320,Betul Cihan Artun
HLI 341_A,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,North Building 104,Robin Hammerman
HLI 354_A,"Saturday, May 11, 2024",3:00 PM,6:00 PM,Morton 324,Anthony Pennino
Course and Section,Day and Date,Start Time,End Time,Building and Room(s),Instructor
HLI 357_A,"Monday, May 13, 2024",8:00 AM,11:00 AM,Babbio 304,Jason Vredenburg
HLI 391_A,"Thursday, May 9, 2024",11:30 AM,2:30 PM,Peirce 220,Smaran Dayal
HLI 414_A,"Tuesday, May 7, 2024",8:00 AM,11:00 AM,North Building 103,Betul Cihan Artun
HMU 102_A,"Friday, May 10, 2024",11:30 AM,2:30 PM,Morton 205,Aysegul Durakoglu
HMU 102_B,"Tuesday, May 7, 2024",11:30 AM,2:30 PM,Kidde 390,William Stackpole
HMU 195_A,"Monday, May 13, 2024",7:00 PM,10:00 PM,Kidde 390,Mario Diaz de Leon
HMU 334_B,"Wednesday, May 8, 2024",11:30 AM,2:30 PM,Kidde 350,Michael Flannery
HMU 406_A,"Wednesday, May 8, 2024",8:00 AM,11:00 AM,Kidde 350,Michael Flannery
HMU 450_EV,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Morton 105,Michael Guerriero
HMU 494_EV,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Kidde 390,William Stackpole
HPL 111_A,"Friday, May 10, 2024",11:30 AM,2:30 PM,Peirce 220,Joyce Mullan
HPL 112_A,"Tuesday, May 7, 2024",3:00 PM,6:00 PM,ABS Engineering Center 301,Gregory Morgan
HPL 112_B,"Tuesday, May 7, 2024",3:00 PM,6:00 PM,Howe 104,Gregory Morgan
HPL 112_C,"Tuesday, May 7, 2024",3:00 PM,6:00 PM,Babbio 104,Adam Blazej
HPL 112_D,"Tuesday, May 7, 2024",3:00 PM,6:00 PM,Babbio 104,Adam Blazej
HPL 340_A,"Tuesday, May 7, 2024",8:00 AM,11:00 AM,Babbio 204,Michael Steinmann
HPL 340_B,"Thursday, May 9, 2024",11:30 AM,2:30 PM,Babbio 204,Michael Steinmann
HPL 367_EV,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,Morton 324,Gregory Morgan
HPL 369_EV,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Peirce 220,Michael Steinmann
HPL 380_A,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,Babbio 203,Joyce Mullan
HPL 456_A,"Tuesday, May 14, 2024",8:00 AM,11:00 AM,Burchard 102,Nick Byrd
HPL 456_B,"Tuesday, May 14, 2024",8:00 AM,11:00 AM,Burchard 102,Nick Byrd
HPL 457_EV,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Morton 324,Robert Meyer
HPL 464_A,"Thursday, May 9, 2024",11:30 AM,2:30 PM,Morton 205,Joyce Mullan
HSS 141_A,"Wednesday, May 8, 2024",8:00 AM,11:00 AM,Burchard 103,Yu Tao
HSS 141_B,"Wednesday, May 8, 2024",8:00 AM,11:00 AM,Burchard 103,Yu Tao
HSS 141_C,"Wednesday, May 8, 2024",8:00 AM,11:00 AM,Gateway North 103,KyungTek Chun
Course and Section,Day and Date,Start Time,End Time,Building and Room(s),Instructor
HSS 141_D,"Wednesday, May 8, 2024",8:00 AM,11:00 AM,Gateway North 103,KyungTek Chun
HSS 175_A,"Thursday, May 9, 2024",3:00 PM,6:00 PM,ABS Engineering Center 301,Nicholas Jones
HSS 175_B,"Friday, May 10, 2024",11:30 AM,2:30 PM,Babbio 310,Chelsie Burchett
HSS 175_C,"Tuesday, May 7, 2024",11:30 AM,2:30 PM,Howe 104,Chelsie Burchett
HSS 175_D,"Tuesday, May 7, 2024",8:00 AM,11:00 AM,Howe 104,Metin Teke
HSS 175_E,"Thursday, May 9, 2024",11:30 AM,2:30 PM,Babbio 220,Takeem Dean
HSS 280_A,"Thursday, May 9, 2024",8:00 AM,11:00 AM,Edwin A. Stevens 130,Ashley Lytle
HSS 280_B,"Thursday, May 9, 2024",8:00 AM,11:00 AM,Edwin A. Stevens 229,Ashley Lytle
HSS 317_A,"Wednesday, May 8, 2024",8:00 AM,11:00 AM,Morton 324,Michael Kowal
HSS 317_B,"Tuesday, May 7, 2024",8:00 AM,11:00 AM,Burchard 714,Paul Connor
HSS 317_C,"Wednesday, May 8, 2024",3:00 PM,6:00 PM,Burchard 714,Paul Connor
HSS 321_A,"Thursday, May 9, 2024",8:00 AM,11:00 AM,Morton 324,Michael Kowal
HSS 324_A,"Thursday, May 9, 2024",11:30 AM,2:30 PM,Gateway North 103,KyungTek Chun
HSS 357_A,"Wednesday, May 8, 2024",11:30 AM,2:30 PM,Edwin A. Stevens 229,Ashley Lytle
HSS 371_A,"Friday, May 10, 2024",8:00 AM,11:00 AM,Burchard 102,Katheryn Detwiler
HSS 371_B,"Friday, May 10, 2024",8:00 AM,11:00 AM,Babbio 104,Katheryn Detwiler
HSS 371_C,"Friday, May 10, 2024",8:00 AM,11:00 AM,Babbio 104,Katheryn Detwiler
HSS 371_D,"Friday, May 10, 2024",8:00 AM,11:00 AM,Burchard 103,William Lockett
HSS 371_E,"Friday, May 10, 2024",8:00 AM,11:00 AM,Burchard 103,William Lockett
HSS 371_F,"Tuesday, May 7, 2024",8:00 AM,11:00 AM,Morton 205,Keri Sansevere
HSS 371_G,"Saturday, May 11, 2024",3:00 PM,6:00 PM,Peirce 218,Keri Sansevere
HSS 401_A,"Monday, May 13, 2024",8:00 AM,11:00 AM,Morton 324,Kristyn Karl
HSS 401_B,"Saturday, May 11, 2024",11:30 AM,2:30 PM,Morton 324,Kristyn Karl
HSS 477_A,"Friday, May 10, 2024",11:30 AM,2:30 PM,Babbio 220,Susan Schept
HSS 479_A,"Monday, May 13, 2024",3:00 PM,6:00 PM,Morton 324,Yu Tao
HST 120_A,"Wednesday, May 8, 2024",11:30 AM,2:30 PM,Peirce 218,William Lockett
HST 120_B,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,Edwin A. Stevens 230,William Lockett
Course and Section,Day and Date,Start Time,End Time,Building and Room(s),Instructor
HST 140_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,Morton 324,Theresa Macphail
HST 140_B,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,Morton 324,Theresa Macphail
HST 250_A,"Friday, May 10, 2024",11:30 AM,2:30 PM,ABS Engineering Center 301,Theresa Macphail
HST 250_B,"Saturday, May 4, 2024",3:00 PM,6:00 PM,Morton 105,Mel Ferrara
HST 320_A,"Monday, May 6, 2024",8:00 AM,11:00 AM,Gateway North 213,Samantha Muka
HST 350_A,"Tuesday, May 7, 2024",11:30 AM,2:30 PM,Babbio 219,Amber Benezra
HST 350_B,"Wednesday, May 8, 2024",11:30 AM,2:30 PM,Edwin A. Stevens 330,Amber Benezra
HST 360_A,"Saturday, May 4, 2024",3:00 PM,6:00 PM,Gateway North 213,Samantha Muka
HST 401_A,"Monday, May 13, 2024",7:00 PM,10:00 PM,ABS Engineering Center 301,John Horgan
HST 404_A,"Tuesday, May 7, 2024",3:00 PM,6:00 PM,Morton 324,Katheryn Detwiler
HTH 302_A,"Friday, May 10, 2024",11:30 AM,2:30 PM,Burchard 714,Anthony Pennino
IPD 611_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Babbio 319,Kishore Pochiraju
ISE 322_A,"Saturday, May 4, 2024",8:00 AM,11:00 AM,Burchard 102,Hao Chen
LCH 101_A,"Tuesday, May 7, 2024",8:00 AM,11:00 AM,Gateway South 121,Wei-Ya Wang
LCH 102_A,"Thursday, May 9, 2024",11:30 AM,2:30 PM,Morton 105,Yu-Tsui Lin
LFR 101_A,"Friday, May 10, 2024",3:00 PM,6:00 PM,Edwin A. Stevens 130,Celia Cachat
LFR 101_B,"Friday, May 10, 2024",3:00 PM,6:00 PM,Edwin A. Stevens 130,Celia Cachat
LFR 102_A,"Friday, May 10, 2024",11:30 AM,2:30 PM,Edwin A. Stevens 130,Celia Cachat
LSP 101_A,"Monday, May 6, 2024",7:00 PM,10:00 PM,Peirce 120,Zachary Balog
LSP 101_B,"Monday, May 6, 2024",7:00 PM,10:00 PM,Peirce 120,Zachary Balog
LSP 102_A,"Tuesday, May 7, 2024",11:30 AM,2:30 PM,Babbio 203,Zachary Balog
LSP 305_A,"Saturday, May 4, 2024",7:00 PM,10:00 PM,Burchard 714,Zachary Balog
LTL 101_A,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,Martha Bayard Stevens Hall 105,Gabrielle Sims
MA 119_A,"Tuesday, May 14, 2024",8:00 AM,11:00 AM,"North Building 102, 103",Paul Schwartz
MA 119_B,"Tuesday, May 14, 2024",8:00 AM,11:00 AM,Edwin. A Stevens 230,Paul Schwartz
MA 119_C,"Tuesday, May 14, 2024",8:00 AM,11:00 AM,"North Building 104, 105",Paul Schwartz
MA 122_AA,"Monday, May 13, 2024",7:00 PM,10:00 PM,Babbio 203,Chloe Weiers
Course and Section,Day and Date,Start Time,End Time,Building and Room(s),Instructor
MA 125_AA,"Monday, May 13, 2024",7:00 PM,10:00 PM,Peirce 116,Monika
MA 126_AA,"Tuesday, May 14, 2024",8:00 AM,11:00 AM,Burchard 111,Denis Serbin
MA 126_BB,"Tuesday, May 14, 2024",8:00 AM,11:00 AM,Burchard 111,Denis Serbin
MA 126_CC,"Tuesday, May 14, 2024",8:00 AM,11:00 AM,Kidde 228,Daniele Alessandrini
MA 126_DD,"Tuesday, May 14, 2024",8:00 AM,11:00 AM,Kidde 228,Daniele Alessandrini
MA 126_EE,"Tuesday, May 14, 2024",8:00 AM,11:00 AM,Gateway South 122,Alexander Taam
MA 126_FF,"Tuesday, May 14, 2024",8:00 AM,11:00 AM,Burchard 111,Denis Serbin
MA 126_GG,"Tuesday, May 14, 2024",8:00 AM,11:00 AM,Gateway South 122,Alexander Taam
MA 126_HH,"Tuesday, May 14, 2024",8:00 AM,11:00 AM,Kidde 228,Daniele Alessandrini
MA 126_II,"Tuesday, May 14, 2024",8:00 AM,11:00 AM,Gateway South 216,Alexander Taam
MA 126_JJ,"Tuesday, May 14, 2024",8:00 AM,11:00 AM,Gateway North 103,Eric Ramos
MA 134_A,"Tuesday, May 14, 2024",11:30 AM,2:30 PM,Babbio 122,Alexander Ushakov
MA 221_A,"Tuesday, May 14, 2024",8:00 AM,11:00 AM,Edwin A. Stevens 222,Matthew Romney
MA 221_B,"Tuesday, May 14, 2024",8:00 AM,11:00 AM,Babbio 104,Matthew Romney
MA 221_C,"Tuesday, May 14, 2024",8:00 AM,11:00 AM,Babbio 122,Yi Li
MA 221_D,"Tuesday, May 14, 2024",8:00 AM,11:00 AM,Babbio 122,Yi Li
MA 221_E,"Tuesday, May 14, 2024",8:00 AM,11:00 AM,Edwin A. Stevens 222,Matthew Romney
MA 222_A,"Monday, May 13, 2024",7:00 PM,10:00 PM,Edwin A. Stevens 222,Laurence Russ
MA 222_B,"Monday, May 13, 2024",7:00 PM,10:00 PM,Edwin A. Stevens 222,Laurence Russ
MA 222_C,"Monday, May 13, 2024",7:00 PM,10:00 PM,Burchard 103,Hong Do
MA 226_AA,"Saturday, May 11, 2024",8:00 AM,11:00 AM,North Building 105,Mahmood Sohrabi
MA 226_BB,"Saturday, May 11, 2024",8:00 AM,11:00 AM,Burchard 111,Mahmood Sohrabi
MA 226_CC,"Saturday, May 11, 2024",8:00 AM,11:00 AM,Babbio 104,Monika
MA 231_DD,"Tuesday, May 7, 2024",3:00 PM,6:00 PM,Babbio 122,Monika
MA 232_A,"Monday, May 13, 2024",3:00 PM,6:00 PM,Gateway North 103,Andrey Nikolaev
MA 232_B,"Monday, May 13, 2024",3:00 PM,6:00 PM,Gateway South 216,Andrey Nikolaev
MA 234_A,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,Gateway South 025,Andrey Nikolaev
Course and Section,Day and Date,Start Time,End Time,Building and Room(s),Instructor
MA 331_A,"Saturday, May 11, 2024",11:30 AM,2:30 PM,Babbio 122,Xiaohu Li
MA 331_B,"Saturday, May 11, 2024",11:30 AM,2:30 PM,Babbio 122,Pedro Vilanova-Guerra
MA 331_C,"Saturday, May 11, 2024",11:30 AM,2:30 PM,Gateway North 204,Xiaohu Li
MA 336_A,"Tuesday, May 7, 2024",11:30 AM,2:30 PM,Kidde 360,Jan Cannizzo
MA 346_A,"Wednesday, May 8, 2024",3:00 PM,6:00 PM,Edwin A. Stevens 330,Kathrin Smetana
MA 361_A,"Friday, May 10, 2024",11:30 AM,2:30 PM,North Building 104,Pavel Dubovski
MA 540_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,Martha Bayard Stevens Hall 203,Hadi Safari Katesari
MA 541_A,"Monday, May 6, 2024",7:00 PM,10:00 PM,Burchard 111,Hong Do
MA 541_B,"Monday, May 6, 2024",7:00 PM,10:00 PM,Burchard 111,Hong Do
MA 544_A,"Thursday, May 9, 2024",8:00 AM,11:00 AM,North Building 104,Upendra Prasad
MA 564_A,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,North Building 101,Alexander Ushakov
MA 574_A,"Thursday, May 9, 2024",3:00 PM,6:00 PM,North Building 102,Upendra Prasad
MA 576_A,"Monday, May 13, 2024",7:00 PM,10:00 PM,Kidde 228,Pedro Vilanova-Guerra
MA 576_C,"Monday, May 13, 2024",7:00 PM,10:00 PM,Kidde 228,Pedro Vilanova-Guerra
MA 577_A,"Thursday, May 9, 2024",3:00 PM,6:00 PM,Babbio 304,Benjamin Leinwand
MA 606_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Morton 105,Alexei Miasnikov
MA 623_A,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,Peirce 216,Xiaohu Li
MA 636_A,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Peirce 216,Pavel Dubovski
MA 641_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Gateway North 103,Hadi Safari Katesari
MA 652_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Peirce 216,Daniele Alessandrini
MA 662_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,Babbio 204,Darinka Dentcheva
ME 225_A,"Monday, May 6, 2024",8:00 AM,11:00 AM,Gateway South 122,Yong Shi
ME 225_B,"Monday, May 6, 2024",8:00 AM,11:00 AM,Kidde 360,Maxine Fontaine
ME 234_A,"Saturday, May 4, 2024",3:00 PM,6:00 PM,Burchard 102,Shima Hajimirza
ME 261_A,"Wednesday, May 8, 2024",11:30 AM,2:30 PM,Gateway North 204,Elsayed Aziz
ME 261_B,"Wednesday, May 8, 2024",11:30 AM,2:30 PM,Babbio 104,Chaitanya Krishna Vallabh
ME 322_A,"Tuesday, May 7, 2024",11:30 AM,2:30 PM,Gateway North 204,Elsayed Aziz
Course and Section,Day and Date,Start Time,End Time,Building and Room(s),Instructor
ME 322_B,"Tuesday, May 7, 2024",11:30 AM,2:30 PM,Library B15,Maxine Fontaine
ME 322_C,"Friday, May 10, 2024",11:30 AM,2:30 PM,Burchard 103,Maxine Fontaine
ME 335_A,"Tuesday, May 7, 2024",8:00 AM,11:00 AM,Peirce 116,Hamid Hadim
ME 342_A,"Saturday, May 4, 2024",8:00 AM,11:00 AM,Edwin A. Stevens 222,Kevin Connington
ME 342_B,"Saturday, May 4, 2024",8:00 AM,11:00 AM,Edwin A. Stevens 222,Kevin Connington
ME 342_C,"Saturday, May 4, 2024",8:00 AM,11:00 AM,McLean 209,Jason Rabinovitch
ME 345_A,"Monday, May 6, 2024",3:00 PM,6:00 PM,Online,Frank Fisher
ME 345_B,"Monday, May 6, 2024",3:00 PM,6:00 PM,Online,Chaitanya Krishna Vallabh
ME 354_A,"Saturday, May 4, 2024",3:00 PM,6:00 PM,McLean 209,Annie Xian Zhang
ME 358_A,"Saturday, May 4, 2024",11:30 AM,2:30 PM,Morton 205,Gizem Acar
ME 361_A,"Monday, May 13, 2024",7:00 PM,10:00 PM,Kidde 360,Elsayed Aziz
ME 483_A,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,Online,Mishah Salman
ME 483_B,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,Online,Christopher Sugino
ME 491_A,"Monday, May 6, 2024",7:00 PM,10:00 PM,Kidde 228,Chan Yu
ME 491_B,"Monday, May 6, 2024",7:00 PM,10:00 PM,Kidde 228,Chan Yu
ME 521_A,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,Babbio 304,Dimitri Donskoy
ME 522_A,"Thursday, May 9, 2024",11:30 AM,2:30 PM,Babbio 310,Mishah Salman
ME 532_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,McLean 105,Mohammed Sidhoum
ME 532_A_U,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,McLean 105,Mohammed Sidhoum
ME 535_A,"Thursday, May 9, 2024",8:00 AM,11:00 AM,McLean 105,Leonid Shnayder
ME 545_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,Burchard 514,Nicholaus Parziale
ME 546_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Babbio 104,Siva Thangam
ME 555_A,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,Morton 205,Robert Lechich
ME 561_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,North Building 101,Antonia Zaferiou
ME 564_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Burchard 102,Chan Yu
ME 579_A,"Thursday, May 9, 2024",8:00 AM,11:00 AM,Babbio 310,Nicholaus Parziale
ME 598_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,Babbio 310,Mishah Salman
Course and Section,Day and Date,Start Time,End Time,Building and Room(s),Instructor
ME 604_A,"Friday, May 10, 2024",7:00 PM,10:00 PM,Peirce 120,Erol Cesmebasi
ME 618_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,Gateway South 121,Shima Hajimirza
ME 631_A,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Edwin A. Stevens 130,Christophe Pierre
ME 635_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Babbio 319,Kishore Pochiraju
ME 636_A,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,Burchard 514,Ali Yassine
ME 641_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,Edwin A. Stevens 330,Sven Esche
ME 645_A,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,Gateway South 123,Behzad Mottahed
ME 650_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Babbio 203,Long Wang
ME 652_A,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Babbio 219,Chan Yu
ME 660_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Burchard 104,Jonathan Gabel
ME 663_A,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,Babbio 304,Sven Esche
ME 691_A,"Thursday, May 9, 2024",8:00 AM,11:00 AM,Peirce 218,Robert Chang
MGT 699_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Babbio 321,Pranav Garg
MGT 699_WS,"Wednesday, May 8, 2024",6:00 PM,9:00 PM,Online,Pranav Garg
MIS 631_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,Babbio 104,Joseph Morabito
MIS 631_B,"Thursday, May 9, 2024",7:00 PM,10:00 PM,North Building 102,Joseph Morabito
MIS 633_A,"Thursday, May 9, 2024",8:00 AM,11:00 AM,Babbio 210,Joseph Morabito
MIS 633_B,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Babbio 104,Joseph Morabito
MIS 637_B,"Thursday, May 9, 2024",8:00 AM,11:00 AM,Howe 102,Mahmoud Daneshmand
MT 516_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Edwin A. Stevens 231,Marvin Hutt
MT 525_A,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,Altorfer 501,Pinar Akcora
MT 543_A,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,North Building 104,Jose Tabora
MT 602_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Edwin A. Stevens 229,Jae Chul Kim
MT 650_A,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,Martha Bayard Stevens Hall 107,Sarah Goodman
MT 690_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,North Building 105,Zhuo Feng
NANO 525_A,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,Altorfer 501,Pinar Akcora
NANO 571_A,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Babbio 210,Christos Christodoulatos
Course and Section,Day and Date,Start Time,End Time,Building and Room(s),Instructor
NANO 571_A_U,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Babbio 210,Christos Christodoulatos
